year,homicide_type,day
2008,Shooting,Saturday
2008,Shooting,Sunday
2008,Stabbing,Saturday
2008,Other,Sunday
2008,Stabbing,Sunday
2008,Shooting,Sunday
2008,Other,Friday
2008,Shooting,Sunday
2008,Shooting,Tuesday
2008,Other,Thursday
2008,Stabbing,Tuesday
2008,Shooting,Monday
2008,Stabbing,Monday
2008,Shooting,Tuesday
2008,Stabbing,Tuesday
2008,Shooting,Tuesday
2008,Shooting,Monday
2008,Other,Wednesday
2008,Shooting,Friday
2008,Shooting,Thursday
2008,Other,Saturday
2008,Stabbing,Monday
2008,Stabbing,Monday
2008,Shooting,Tuesday
2008,Shooting,Saturday
2008,Shooting,Saturday
2008,Stabbing,Tuesday
2008,Stabbing,Tuesday
2008,Stabbing,Tuesday
2008,Other,Sunday
2008,Shooting,Wednesday
2008,Stabbing,Wednesday
2008,Stabbing,Saturday
2008,Other,Thursday
2009,Shooting,Saturday
2009,Shooting,Sunday
2009,Other,Tuesday
2009,Stabbing,Friday
2009,Shooting,Tuesday
2009,Shooting,Sunday
2009,Shooting,Tuesday
2009,Shooting,Sunday
2009,Shooting,Thursday
2009,Shooting,Saturday
2009,Stabbing,Thursday
2009,Stabbing,Thursday
2009,Stabbing,Friday
2009,Shooting,Tuesday
2009,Shooting,Wednesday
2009,Shooting,Friday
2009,Stabbing,Tuesday
2009,Other,Saturday
2009,Shooting,Monday
2009,Stabbing,Wednesday
2009,Stabbing,Wednesday
2009,Other,Wednesday
2009,Stabbing,Monday
2009,Other,Wednesday
2009,Stabbing,Sunday
2009,Stabbing,Sunday
2009,Other,Tuesday
2009,Other,Saturday
2009,Shooting,Sunday
2009,Stabbing,Monday
2009,Shooting,Saturday
2009,Shooting,Saturday
2009,Shooting,Sunday
2009,Shooting,Tuesday
2009,Shooting,Wednesday
2009,Shooting,Monday
2009,Shooting,Sunday
2009,Shooting,Wednesday
2009,Shooting,Saturday
2009,Shooting,Monday
2009,Other,Saturday
2009,Shooting,Saturday
2009,Other,Sunday
2009,Shooting,Sunday
2009,Shooting,Friday
2009,Shooting,Monday
2009,Shooting,Tuesday
2009,Stabbing,Wednesday
2009,Other,Saturday
2009,Stabbing,Saturday
2009,Shooting,Wednesday
2009,Shooting,Tuesday
2009,Shooting,Sunday
2009,Shooting,Sunday
2009,Shooting,Thursday
2009,Other,Saturday
2009,Shooting,Sunday
2009,Shooting,Monday
2009,Shooting,Wednesday
2009,Stabbing,Sunday
2009,Other,Friday
2009,Shooting,Tuesday
2010,Other,Saturday
2010,Shooting,Thursday
2010,Other,Sunday
2010,Stabbing,Wednesday
2010,Stabbing,Wednesday
2010,Shooting,Sunday
2010,Shooting,Monday
2010,Other,Sunday
2010,Other,Monday
2010,Shooting,Thursday
2010,Other,Saturday
2010,Other,Sunday
2010,Other,Wednesday
2010,Shooting,Monday
2010,Other,Saturday
2010,Stabbing,Monday
2010,Shooting,Monday
2010,Other,Tuesday
2010,Other,Saturday
2010,Stabbing,Saturday
2010,Other,Monday
2010,Stabbing,Saturday
2010,Other,Saturday
